FY_Quarter,GDP_growth_pct,c_PFCE,c_GFCE,c_GFCF,c_CIS,c_Valuables,c_Exports,c_Imports,c_NetExports,c_Discrepancies,sum_check
2011-12 Q1,,,,,,,,,,,0
2011-12 Q2,,,,,,,,,,,0
2011-12 Q3,,,,,,,,,,,0
2011-12 Q4,,,,,,,,,,,0
2012-13 Q1,4.87,-0.54,1.17,3.17,-0.19,0.47,1.23,-1.61,-0.38,1.17,4.87
2012-13 Q2,7.49,4.78,1.42,1.93,0.08,-0.04,7.1,-5.13,1.97,-2.65,7.49
2012-13 Q3,5.38,5.05,-1.38,0.77,-0.04,-0.01,-1.12,-0.99,-2.11,3.1,5.38
2012-13 Q4,4.3,2.96,-0.72,1.04,-0.13,-0.07,-0.01,-0.12,-0.12,1.34,4.3
2013-14 Q1,6.45,4.36,1.97,0.99,-0.76,-1.48,0.8,0.92,1.72,-0.35,6.45
2013-14 Q2,7.34,3.38,-0.3,0.57,-0.84,-1.22,-0.33,2.77,2.44,3.31,7.34
2013-14 Q3,6.53,4.09,0.25,0.78,-0.72,-1.19,3.63,4.41,8.05,-4.72,6.53
2013-14 Q4,5.34,4.54,-1.49,-0.14,-0.8,-0.96,3.36,2.02,5.38,-1.18,5.34
2014-15 Q1,8.02,4.08,0.27,0.98,1.58,0.51,3.07,-0.25,2.82,-2.22,8.02
2014-15 Q2,8.7,4.82,1.19,1.52,1.57,0.32,-0.79,0.12,-0.66,-0.05,8.7
2014-15 Q3,5.92,1.26,2.26,0.24,1.29,0.31,0.86,-1.93,-1.07,1.62,5.92
2014-15 Q4,7.11,4.41,-0.64,0.7,1.49,0.45,-1.2,1.08,-0.12,0.83,7.11
2015-16 Q1,7.59,3.97,0.52,1.17,-0.4,-0.3,-1.58,1.51,-0.07,2.69,7.59
2015-16 Q2,8.03,3.92,1.08,1.12,-0.38,0.13,-1.16,0.97,-0.19,2.35,8.03
2015-16 Q3,7.2,4.87,0.79,3.07,-0.26,0.2,-2.13,2.51,0.38,-1.84,7.2
2015-16 Q4,9.09,4.99,0.6,2.67,-0.3,-0.1,-0.57,0.96,0.39,0.84,9.09
2016-17 Q1,8.68,3.87,0.26,4.22,-1.03,-0.23,0.76,-0.09,0.66,0.92,8.68
2016-17 Q2,9.67,5.25,0.28,2.51,-1.05,-0.41,0.53,0.02,0.55,2.53,9.67
2016-17 Q3,8.58,6.46,0.6,2.06,-0.97,-0.35,1.4,-2.3,-0.9,1.68,8.58
2016-17 Q4,6.29,2.79,1.21,1.72,-1.06,-0.23,1.42,-1.41,0,1.85,6.29
2017-18 Q1,6.11,4.71,2.17,0.34,0.58,1.15,0.8,-4.6,-3.8,0.95,6.11
2017-18 Q2,5.32,2.65,0.83,1.93,0.7,0.46,0.94,-2.28,-1.35,0.1,5.32
2017-18 Q3,6.67,2.45,0.98,2.81,0.69,0.25,0.91,-3.11,-2.2,1.69,6.67
2017-18 Q4,8.93,4.18,0.73,4.35,0.75,0.15,1.04,-4.81,-3.77,2.55,8.93
2018-19 Q1,7.5,3.53,0.76,4.4,0.51,-0.73,1.82,-1.28,0.54,-1.52,7.5
2018-19 Q2,6.46,4.67,0.93,3.91,0.44,-0.02,2.43,-4.11,-1.68,-1.8,6.46
2018-19 Q3,6.23,4.3,0.34,3.99,0.41,0.03,2.99,-2.86,0.13,-2.97,6.23
2018-19 Q4,5.72,3.35,0.71,1.79,0.37,0.06,2.2,-0.18,2.02,-2.58,5.72
2019-20 Q1,5.1,3.98,-0.22,2.67,-1.08,-0.08,0.56,-2.18,-1.62,1.45,5.1
2019-20 Q2,4.3,3.41,0.66,-0.25,-1.14,-0.18,-0.37,0.56,0.19,1.62,4.3
2019-20 Q3,3.26,3.49,0.46,-0.57,-1.07,-0.21,-1.09,1.77,0.68,0.48,3.26
2019-20 Q4,2.94,0.9,0.69,-0.26,-1.11,-0.3,-1.81,0.58,-1.23,4.26,2.94
2020-21 Q1,-23.13,-12.95,0.94,-14.21,-0.64,-1.13,-4.69,9.95,5.26,-0.41,-23.13
2020-21 Q2,-5.84,-4.18,-3.1,-0.68,-0.57,0.27,-0.79,3.93,3.14,-0.71,-5.84
2020-21 Q3,1.78,0.9,-0.44,1.32,-0.54,0.42,-1.26,0.9,-0.37,0.47,1.78
2020-21 Q4,3.29,3.64,2.11,4.08,-0.54,1.68,1.16,-2.78,-1.61,-6.08,3.29
2021-22 Q1,22.63,10.23,-1.23,16.73,1.21,0.68,9.13,-8.66,0.47,-5.45,22.63
2021-22 Q2,9.87,7.58,0.45,4.87,1.01,2.47,5.14,-5.61,-0.47,-6.06,9.87
2021-22 Q3,5.53,6.59,-0.06,1.16,0.87,0.61,5.08,-4.23,0.85,-4.48,5.53
2021-22 Q4,4.45,3.51,0.53,2.15,0.91,-1.37,4.24,-1.58,2.66,-3.95,4.45
2022-23 Q1,13.49,10.56,0.57,5.47,0.33,0.42,3.69,-5.46,-1.77,-2.08,13.49
2022-23 Q2,5.96,5.16,-0.09,2.15,0.2,-0.65,1.94,-3.38,-1.44,0.64,5.96
2022-23 Q3,4.84,1.51,0.21,2.12,0.21,-0.71,1.8,-0.69,1.1,0.39,4.84
2022-23 Q4,6.9,1.23,0.97,1.92,0.3,-0.26,2.07,0.43,2.51,0.23,6.9
2023-24 Q1,9.66,4.25,0.55,2.95,0.59,-0.24,-1.67,-4.48,-6.15,7.7,9.66
2023-24 Q2,9.34,1.74,1.67,3.93,0.73,-0.19,1.09,-3.71,-2.63,4.08,9.34
2023-24 Q3,9.51,3.49,0.19,3,0.64,0.64,0.67,-2.67,-2,3.56,9.51
2023-24 Q4,8.35,3.41,0.72,2.06,0.66,0.55,1.73,-2.44,-0.71,1.65,8.35
2024-25 Q1,6.51,4.65,-0.03,2.3,0.13,-0.15,1.68,0.42,2.1,-2.48,6.51
2024-25 Q2,5.61,3.57,0.39,2.3,0.04,0.64,0.68,-0.28,0.4,-1.72,5.61
2024-25 Q3,6.37,4.82,0.72,1.68,0.06,-0.01,2.3,0.5,2.79,-3.69,6.37
2024-25 Q4,7.38,3.2,-0.2,3.13,0.09,-0.39,0.86,2.8,3.66,-2.1,7.38
2025-26 Q1,7.81,4.03,0.7,2.7,0.1,-0.11,1.31,-2.69,-1.38,1.77,7.81
2025-26 Q2,8.23,4.46,-0.24,2.54,0.13,-0.67,1.23,-3.31,-2.08,4.09,8.23
